,index,voor
0,Gate location,0.5867619304395113
1,Online support,0.5985036397950944
2,Online boarding,0.6092208142356447
3,Ease of Online booking,0.6107845780533862
4,Checkin service,0.6685629549744094
5,Baggage handling,0.6881740361283365
6,Departure/Arrival time convenient,0.7290644378538743
