,index,gem_tijdens_niet
0,Seat comfort,0.4934669093259146
1,Inflight entertainment,0.5217287772352275
2,Food and drink,0.5320837514669667
3,Inflight wifi service,0.5839708808872366
4,On-board service,0.5946252104842795
5,Leg room service,0.6105250625074893
6,Cleanliness,0.6754647662135896
