,index,gem_tijdens
0,Seat comfort,0.5677194333231187
1,Food and drink,0.570398829688954
2,Inflight wifi service,0.6498259932247684
3,Inflight entertainment,0.6766954111492562
4,On-board service,0.6930150908534308
5,Leg room service,0.6971804742843266
6,Cleanliness,0.7411518324612275
