,index,gem_niet
0,Ease of Online booking,0.5704522647254396
1,Online boarding,0.5739390743796379
2,Baggage handling,0.5911503070093378
3,Online support,0.5918425662918843
4,Checkin service,0.5943700780704718
5,Gate location,0.6015512050753373
6,Departure/Arrival time convenient,0.6033371319714627
