,index,gem_voor
0,Gate location,0.5980843855866452
1,Departure/Arrival time convenient,0.5981290421928634
2,Checkin service,0.6681613797355442
3,Online boarding,0.6705174006780069
4,Baggage handling,0.6739182322143518
5,Ease of Online booking,0.694421004004112
6,Online support,0.7039405605178327
