,index,gem_tijdens_sat
0,Food and drink,0.602087582821026
1,Seat comfort,0.6291305020607857
2,Inflight wifi service,0.7042919239805531
3,Leg room service,0.7688494380126908
4,On-board service,0.7743891288140876
5,Cleanliness,0.7954787795238694
6,Inflight entertainment,0.8048616484029523
