,index,gem_sat
0,Departure/Arrival time convenient,0.5938216551549246
1,Gate location,0.5952171283075681
2,Checkin service,0.7291909913204585
3,Baggage handling,0.7423720230140533
4,Online boarding,0.7503931801876668
5,Online support,0.7966519898156011
6,Ease of Online booking,0.7969502159327305
