,index,tijdens
0,Food and drink,0.47372607171752235
1,Inflight entertainment,0.478349959557913
2,Seat comfort,0.4797519547048597
3,Inflight wifi service,0.6038015637638221
4,Leg room service,0.6510784578053359
5,On-board service,0.6684281477487409
6,Cleanliness,0.7570234564572502
